coffee
2
21
14
4
0.5
0.2
8
16
4.5
10
6
15
20
7.333333333
45
0
7
9
12
7.33
7.33
20
9
4.5
12
5
4
10
14
4
15
9
21
14
2
15
20
10
4
0
20
5
15
21
0
10
4
2
